Section,Question
Climate change and pollution:,Does the company report its scope 2 GHG emissions on location-based or market-based?
Climate change and pollution:,Is the company committed to reduce its GHG emissions aligned with Net Zero by 2050?
Climate change and pollution:,Is the credibility of the company’s GHG emissions reduction target assessed by third-party opinion?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,What is the company’s main source of GHG emissions?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,What is the most important in the company’s GHG emissions between scope 3 upstream emissions and scope 3 downstream emissions?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,What is the company’s carbon intensity in GHG per million euros of revenue?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,How does the company compare to its sectoral peers in terms of carbon intensity?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,What are the other types of pollutants emitted by the company?
What is the company’s plan to reach its GHG emissions reduction target? Provide elements for every scope.,Does the company have a target in terms of renewable energy use/consumption?
Waste:,Is the company able to track and reduce its waste along the production process?
Waste:,Is the company engaged in an international initiative to reduce waste in production processes?
Water:,What is the company’s annual (reported or estimated) water use?
Water:,What is the company’s water intensity in water use per million euros of revenue?
Water:,How does the company compare to its sectoral peers in terms of water intensity?
Social:,What is the gender parity at the company’s board and in top management?
Social:,"Is the company deploying anti-bribery, anti-corruption, and equal opportunity policies?"
Social:,What is the employees’ turnover of the company?
Social:,Are there any health and safety trainings?
Social:,What is the labor productivity measured in Sales/Revenue by employee?
Social:,Are there any mandatory trainings for employees every year?
Social:,Is there any mention of major layoffs in recent years?
Social:,Is there any standard signed by the company concerning its supply chain labor standards?
Governance:,Is the chairman of the board and the CEO the same person?
Governance:,How is the board composed in terms of men and women?
Governance:,Are members of the board coming from different horizons?
Governance:,Is there any mention of previous conflict between shareholders and the board?
Governance:,What is the structure of the board?
Biodiversity:,Has the company signed any international pledge promoting the preservation and restoration of biodiversity?
Biodiversity:,"Does the company measure its impacts and dependances towards biodiversity? If so, how?"
Biodiversity:,Does biodiversity loss induce a high risk for the company’s effectiveness and stability?
Biodiversity:,Is the company engaged to halt deforestation?
Biodiversity:,Is the company engaged operationally to reduce biodiversity loss?
